Zhongshan;101281701;113.359;22.528;中山;中山;
Qinhuangdao;101091101;119.601;39.932;秦皇岛;秦皇島;
Luzhou;101271001;105.444;28.889;泸州;瀘州;
Foshan;101280800;113.167;22.828;佛山;佛山;
Yangjiang;101281801;111.923;21.846;阳江;陽江;
Zunyi;101260201;106.907;27.698;遵义;遵義;
Jiujiang;101240201;115.991;29.722;九江;九江;
Tieling;101071101;123.831;42.291;铁岭;鐵嶺;
Dongying;101121201;118.472;37.455;东营;東營;
Tongling;101221301;117.781;30.948;铜陵;銅陵;
Shaoyang;101250901;111.255;26.994;邵阳;邵陽;
Yueyang;101251001;113.095;29.378;岳阳;岳陽;
Yancheng;101190701;120.13;33.387;盐城;鹽城;
Wuzhou;101300601;111.315;23.477;梧州;梧州;
Nanyang;101180701;112.527;32.996;南阳;南陽;
Wafangdian;101070202;121.759;39.737;瓦房店;瓦房店;
Suizhou;101201301;113.363;31.709;随州;隨州;
Zigong;101270301;104.763;29.357;自贡;自貢;
Linyi;101120901;118.336;35.057;临沂;臨沂;
Yingcheng;101200405;113.547;30.933;应城;應城;
Heze;101121001;115.436;35.24;菏泽;菏澤;
Xuchang;101180401;113.805;34.022;许昌;許昌;
Suihua;101050501;126.991;46.632;绥化;綏化;
Changde;101250601;111.692;29.048;常德;常德;
Chifeng;101080601;118.952;42.261;赤峰;赤峰;
Shaoguan;101280201;113.589;24.805;韶关;韶關;
Yanji;101060301;129.512;42.907;延吉;延吉;
Yinchuan;101170101;106.263;38.468;银川;銀川;
Tongliao;101080501;122.34;43.656;通辽;通遼;
Mianyang;101270401;104.727;31.475;绵阳;綿陽;
Rizhao;101121501;119.447;35.419;日照;日照;
Yibin;101271101;104.622;28.765;宜宾;宜賓;
Huaiyin;101190906;119.02;33.4;淮阴区;淮陰區;
Cangzhou;101090701;116.847;38.274;沧州;滄州;
Chaozhou;101281501;116.634;23.667;潮州;潮州;
Laohekou;101200206;111.755;32.406;老河口;老河口;
Baicheng;101060601;122.839;45.615;白城;白城;
Nantong;101190501;120.84;32.016;南通;南通;
Jixi;101051101;130.97;45.282;鸡西;雞西;
Guangyuan;101272101;105.819;32.446;广元;廣元;
Hebi;101181201;114.168;35.898;鹤壁;鶴壁;
Tongchuan;101111001;109.068;35.073;铜川;銅川;
Xiantao;101201601;113.451;30.375;仙桃;仙桃;
Jinzhou;101070701;121.144;41.116;锦州;錦州;
Yuci;101100402;112.84;37.636;榆次;榆次;
Xintai;101120802;117.44;35.54;新泰;新泰;
Huizhou;101280301;114.398;23.096;惠州;惠州;
Yining;101131001;81.303;43.91;伊宁;伊寧;
Liaocheng;101121701;115.971;36.447;聊城;聊城;
Yiyang;101250700;112.23;28.34;益阳;益陽;
Chaoyang;101071201;116.29;39.57;朝阳;朝陽;
Wuxue;101200509;115.593;30.017;武穴;武穴;
Ganzhou;101240701;114.916;25.832;赣州;贛州;
Dezhou;101120401;116.279;37.446;德州;德州;
Huaibei;101221201;116.858;33.981;淮北;淮北;
Linfen;101100701;111.449;36.116;临汾;臨汾;
Zhangzhou;101230601;117.655;24.517;漳州;漳州;
Nanchong;101270501;106.083;30.797;南充;南充;
Sanming;101230801;117.601;26.236;三明;三明;
Tianmen;101201501;113.029;30.642;天门;天門;
Jiangmen;101281101;113.088;22.78;江门;江門;
Quanzhou;101230501;118.583;24.914;泉州;泉州;
Xinyang;101180601;114.06;32.125;信阳;信陽;
Suzhou;101220701;117.002;33.629;宿州;宿州;
Haicheng;101070304;122.724;40.826;海城;海城;
Zhuhai;101280701;113.565;22.248;珠海;珠海;
Shuangyashan;101051301;131.147;46.629;双鸭山;雙鴨山;
Shaoxing;101210501;120.579;29.992;绍兴;紹興;
Jiaxing;101210301;120.749;30.758;嘉兴;嘉興;
Shangqiu;101181001;115.635;34.434;商丘;商丘;
Jining;101120701;116.58;35.399;济宁;濟寧;
Kashi;101130901;75.987;39.46;喀什;喀什;
Nanping;101230901;118.169;26.637;南平;南平;
Chenzhou;101250501;112.987;25.783;郴州;郴州;
Shihezi;101130301;86.037;44.299;石河子;石河子;
Zaoyang;101200208;112.787;32.032;枣阳;棗陽;
Anda;101050503;125.393;46.52;安达;安達;
Yuncheng;101100801;110.954;35.106;运城;運城;
Xuanhua;101090302;115.02;40.34;宣化;宣化;
Neijiang;101271201;105.056;29.584;内江;內江;
Jingzhou;101090116;115.044;38.034;晋州;晉州;
Zaozhuang;101121401;117.552;34.867;枣庄;棗莊;
Anshun;101260301;105.925;26.248;安顺;安順;
Ezhou;101200301;114.858;30.411;鄂州;鄂州;
Puyang;101181301;114.995;35.702;濮阳;濮陽;
Yizheng;101190603;119.186;32.417;仪征;儀征;
Mentougou;101011400;116.07;39.55;门头沟;門頭溝;
Baiyin;101161301;104.201;36.549;白银;白銀;
Jiutai;101060104;125.96;44.184;九台;九台;
Maoming;101282001;110.891;21.671;茂名;茂名;
Liupanshui-Shuicheng;101260801;104.52;26.35;水城;水城;
Liupanshui-Liuzhi;101260802;105.27;26.14;六枝;六枝;
Liupanshui-Panxian;101260804;104.37;25.47;盘县;盤縣;
Luan;101221501;116.483;31.741;六安;六安;
