101010100;beijing;beijing;beijing;china;city; 
101010200;haidian;beijing;beijing;china;city;
101010300;chaoyang;beijing;beijing;china;city;
101010400;shunyi;beijing;beijing;china;city;
101010500;huairou;beijing;beijing;china;city;
101010600;tongzhou;beijing;beijing;china;city;
101010700;changping;beijing;beijing;china;city;
101010800;yanqing;beijing;beijing;china;city;
101010900;fengtai;beijing;beijing;china;city;
101011000;shijingshan;beijing;beijing;china;city;
101011100;daxing;beijing;beijing;china;city;
101011200;fangshan;beijing;beijing;china;city;
101011300;miyun;beijing;beijing;china;city;
101011400;mentougou;beijing;beijing;china;city;
101011500;pinggu;beijing;beijing;china;city;
101020100;shanghai;shanghai;shanghai;china;city;
101020200;minhang;shanghai;shanghai;china;city;
101020300;baoshan;shanghai;shanghai;china;city;
101020500;jiading;shanghai;shanghai;china;city;
101020600;nanhui;shanghai;shanghai;china;city;
101020700;jinshan;shanghai;shanghai;china;city;
101020800;qingpu;shanghai;shanghai;china;city;
101020900;songjiang;shanghai;shanghai;china;city;
101021000;fengxian;shanghai;shanghai;china;city;
101021100;chongming;shanghai;shanghai;china;city;
101021200;xujiahui;shanghai;shanghai;china;city;
101021300;pudong;shanghai;shanghai;china;city;
101030100;tianjin;tianjin;tianjin;china;city;
101030200;wuqing;tianjin;tianjin;china;city;
101030300;baodi;tianjin;tianjin;china;city;
101030400;dongli;tianjin;tianjin;china;city;
101030500;xiqing;tianjin;tianjin;china;city;
101030600;beichen;tianjin;tianjin;china;city;
101030700;ninghe;tianjin;tianjin;china;city;
101030800;hangu;tianjin;tianjin;china;city;
101030900;jinghai;tianjin;tianjin;china;city;
101031000;jinnan;tianjin;tianjin;china;city;
101031100;tanggu;tianjin;tianjin;china;city;
101031200;dagang;tianjin;tianjin;china;city;
101031400;jixian;tianjin;tianjin;china;city;
101040100;chongqing;chongqing;chongqing;china;city;
101040200;yongchuan;chongqing;chongqing;china;city;
101040300;hechuan;chongqing;chongqing;china;city;
101040400;nanchuan;chongqing;chongqing;china;city;
101040500;jiangjin;chongqing;chongqing;china;city;
101040600;wansheng;chongqing;chongqing;china;city;
101040700;yubei;chongqing;chongqing;china;city;
101040800;beibei;chongqing;chongqing;china;city;
101040900;banan;chongqing;chongqing;china;city;
101041000;changshou;chongqing;chongqing;china;city;
101041100;qianjiang;chongqing;chongqing;china;city;
101041300;wanzhou;chongqing;chongqing;china;city;
101041400;fuling;chongqing;chongqing;china;city;
101041500;kaixian;chongqing;chongqing;china;city;
101041600;chengkou;chongqing;chongqing;china;city;
101041700;yunyang;chongqing;chongqing;china;city;
101041800;wuxi;chongqing;chongqing;china;city;
101041900;fengjie;chongqing;chongqing;china;city;
101042000;wushan;chongqing;chongqing;china;city;
101042100;tongnan;chongqing;chongqing;china;city;
101042200;dianjiang;chongqing;chongqing;china;city;
101042300;liangping;chongqing;chongqing;china;city;
101042400;zhongxian;chongqing;chongqing;china;city;
101042500;shizhu;chongqing;chongqing;china;city;
101042600;dazu;chongqing;chongqing;china;city;
101042700;rongchang;chongqing;chongqing;china;city;
101042800;tongliang;chongqing;chongqing;china;city;
